Date,Clicks,Impressions,CTR,Position
2025-10-01,47,2275,2.07%,8.4
2025-10-02,45,2238,2.01%,9.1
2025-10-03,37,1843,2.01%,9.4
2025-10-04,40,1872,2.14%,8.6
2025-10-05,58,2133,2.72%,8.4
2025-10-06,54,2569,2.1%,10.7
2025-10-07,47,2190,2.15%,8.3
2025-10-08,50,2057,2.43%,8.1
2025-10-09,50,2151,2.32%,8.4
2025-10-10,58,1946,2.98%,9.2
2025-10-11,55,1775,3.1%,8.6
2025-10-12,40,1946,2.06%,8.4
2025-10-13,65,2240,2.9%,9.1
2025-10-14,54,2411,2.24%,10.7
2025-10-15,59,2279,2.59%,9.7
2025-10-16,46,2045,2.25%,8.8
2025-10-17,62,2710,2.29%,15.3
2025-10-18,28,1770,1.58%,8.9
2025-10-19,55,1938,2.84%,8.9
2025-10-20,55,2171,2.53%,8.2
2025-10-21,51,2093,2.44%,8.5
2025-10-22,59,2179,2.71%,8.5
2025-10-23,43,2099,2.05%,8.9
2025-10-24,51,2005,2.54%,8.8
2025-10-25,66,2032,3.25%,8.2
2025-10-26,63,2377,2.65%,8.4
2025-10-27,72,2471,2.91%,8.2
2025-10-28,69,2637,2.62%,8.4
2025-10-29,65,2412,2.69%,8.8
2025-10-30,42,2472,1.7%,8.8
2025-10-31,36,2208,1.63%,9
2025-11-01,46,2138,2.15%,8.8
2025-11-02,77,2682,2.87%,8.5
2025-11-03,59,2618,2.25%,8.4
2025-11-04,66,2664,2.48%,8.5
2025-11-05,49,2398,2.04%,8.8
2025-11-06,58,2694,2.15%,9.7
2025-11-07,44,2619,1.68%,9.1
2025-11-08,44,2619,1.68%,10.2
2025-11-09,54,2810,1.92%,8.6
2025-11-10,61,2945,2.07%,8.4
2025-11-11,61,3114,1.96%,8.4
2025-11-12,62,2883,2.15%,8.6
2025-11-13,75,2756,2.72%,8.3
2025-11-14,72,2963,2.43%,8.8
2025-11-15,63,2880,2.19%,8.3
2025-11-16,73,3117,2.34%,8.2
2025-11-17,61,3385,1.8%,8.8
2025-11-18,65,3233,2.01%,8.7
2025-11-19,61,2976,2.05%,8.9
2025-11-20,57,3083,1.85%,10.1
2025-11-21,58,2714,2.14%,8.4
2025-11-22,67,2697,2.48%,8.6
2025-11-23,82,3110,2.64%,9.3
2025-11-24,96,3379,2.84%,10.1
2025-11-25,68,3279,2.07%,9.7
2025-11-26,63,3154,2%,9.7
2025-11-27,59,2870,2.06%,9.1
2025-11-28,53,2713,1.95%,9.8
2025-11-29,59,2668,2.21%,9.1
2025-11-30,55,2979,1.85%,9.2
2025-12-01,71,3327,2.13%,10.3
2025-12-02,66,3381,1.95%,11
2025-12-03,57,2902,1.96%,9.7
2025-12-04,68,2816,2.41%,9.7
2025-12-05,55,2549,2.16%,9.2
2025-12-06,52,2663,1.95%,11.5
2025-12-07,55,3028,1.82%,11.9
2025-12-08,61,3253,1.88%,9.7
2025-12-09,74,3642,2.03%,10.9
2025-12-10,78,3393,2.3%,9.7
2025-12-11,67,4195,1.6%,14.7
2025-12-12,64,2903,2.2%,9.8
2025-12-13,43,3351,1.28%,14
2025-12-14,76,3127,2.43%,9.6
2025-12-15,59,3391,1.74%,10.3
2025-12-16,55,3348,1.64%,10.1
2025-12-17,48,2811,1.71%,9.1
2025-12-18,50,2669,1.87%,10.2
2025-12-19,48,2430,1.98%,10.6
2025-12-20,31,2497,1.24%,10.4
2025-12-21,54,2595,2.08%,10.4
2025-12-22,60,2900,2.07%,10.8
2025-12-23,54,2480,2.18%,11.4
2025-12-24,20,1728,1.16%,11.6
2025-12-25,38,2067,1.84%,10.7
