Country,Clicks,Impressions,CTR,Position
Austria,4819,299652,1.61%,8.74
Germany,4479,172787,2.59%,9.97
Switzerland,369,15605,2.36%,11.15
Hungary,221,897,24.64%,7.74
Italy,55,2225,2.47%,8.71
Poland,51,534,9.55%,8.1
France,31,764,4.06%,10.71
Netherlands,24,874,2.75%,12.03
Spain,18,911,1.98%,9.64
Denmark,15,328,4.57%,11.15
Luxembourg,14,546,2.56%,8.28
Sweden,13,421,3.09%,9.42
Belgium,11,464,2.37%,10.18
Portugal,9,204,4.41%,8.39
United States,6,6917,0.09%,11.87
Turkey,6,501,1.2%,11.06
Romania,6,248,2.42%,6.69
Bosnia & Herzegovina,6,188,3.19%,9.21
Czechia,5,279,1.79%,8.22
Norway,5,173,2.89%,8.28
Slovenia,5,166,3.01%,6.92
Greece,4,235,1.7%,8.91
Finland,4,105,3.81%,8.06
United Arab Emirates,4,81,4.94%,10.94
India,3,2191,0.14%,25.68
Croatia,3,208,1.44%,7.62
Slovakia,3,196,1.53%,9.28
Liechtenstein,3,155,1.94%,8
Serbia,3,108,2.78%,8.19
United Kingdom,2,886,0.23%,11.52
Indonesia,2,857,0.23%,25.62
Ireland,2,266,0.75%,12.52
Japan,2,189,1.06%,11.69
Bulgaria,2,117,1.71%,8.66
Taiwan,2,55,3.64%,13.16
Latvia,2,27,7.41%,15.37
Mauritius,2,12,16.67%,10
Brazil,1,1006,0.1%,18.72
Philippines,1,1000,0.1%,27.03
Russia,1,170,0.59%,19.19
Mexico,1,164,0.61%,15.73
Ukraine,1,123,0.81%,11.26
Morocco,1,117,0.85%,17.11
Israel,1,103,0.97%,23.33
Chile,1,90,1.11%,17.24
Tunisia,1,57,1.75%,23.88
China,1,54,1.85%,10.56
Singapore,1,51,1.96%,10.92
Lithuania,1,37,2.7%,13.03
Uruguay,1,28,3.57%,17.64
Namibia,1,11,9.09%,5.82
Malta,1,11,9.09%,7.64
Bahamas,1,9,11.11%,13.78
Greenland,1,4,25%,15.5
South Korea,0,650,0%,26.06
Vietnam,0,618,0%,23.16
Colombia,0,470,0%,27.89
Argentina,0,424,0%,25.02
Algeria,0,419,0%,28.31
Egypt,0,370,0%,24.5
Canada,0,308,0%,10.76
Bangladesh,0,292,0%,28.87
Thailand,0,260,0%,15.11
Pakistan,0,231,0%,24.26
Ecuador,0,174,0%,26.9
Iraq,0,162,0%,26.31
Australia,0,143,0%,15.02
Malaysia,0,130,0%,19.67
Dominican Republic,0,123,0%,27.24
Ethiopia,0,115,0%,28.23
South Africa,0,108,0%,13.89
Saudi Arabia,0,106,0%,17.48
Guatemala,0,94,0%,27.31
Venezuela,0,88,0%,21.18
Hong Kong,0,82,0%,6.87
Iran,0,82,0%,20.96
Bolivia,0,79,0%,29.44
Peru,0,77,0%,14.79
Albania,0,71,0%,16.87
El Salvador,0,69,0%,27.17
Kenya,0,68,0%,26.97
Georgia,0,58,0%,26.79
Cambodia,0,56,0%,27.77
Kazakhstan,0,55,0%,20.53
