Include,Name,Handle,Price (€),Image,Score
true,Bastelset aus Peddigrohr - Bleistiftbehälter mini,bleistiftbehlter-mini-290,6.45,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-bleistiftbehalter-mini-bastelschachtel-45552.jpg?v=1767907081,
true,Bastelset aus Peddigrohr -  Bleistifthalter,bleistiftbehlter-292,7.89,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-bleistiftbehalter-bastelschachtel-19351.jpg?v=1767907079,
true,Bastelset aus Peddigrohr - Brotkorb,brotkorb-293,12.72,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-brotkorb-bastelschachtel-44828.jpg?v=1767907077,
true,Bastelset aus Peddigrohr - Engelchen,engelchen-295,7.92,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-engelchen-bastelschachtel-61975.jpg?v=1767907076,
true,Bastelset aus Peddigrohr - Glocke,glocke-298,6.72,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-glocke-bastelschachtel-17161.jpg?v=1767907074,
true,Bastelset aus Peddigrohr - Kochlöffelhalter,kochloffelbehlter,8.94,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-kochloffelhalter-bastelschachtel-71714.jpg?v=1767907073,
true,Bastelset aus Peddigrohr - Korb mit Deckel,korb-mit-deckel-304,7.98,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-korb-mit-deckel-bastelschachtel-64223.jpg?v=1767907072,
true,Bastelset aus Peddigrohr - Korb mit Holzperlen,korb-mit-holzperlen-305,7.98,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-korb-mit-holzperlen-bastelschachtel-83622.jpg?v=1767907070,
true,Bastelset aus Peddigrohr - Körbchen mit abgerundetem Rand,korbchen-mit-abgerundetem-rand-306,5.99,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-korbchen-mit-abgerundetem-rand-bastelschachtel-95104.jpg?v=1767907069,
true,Bastelset aus Peddigrohr - Korb mit 2 Griffen,korbchen-mit-zwei-griffen-307,6.98,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-korbchen-mit-zwei-griffen-bastelschachtel-27486.jpg?v=1767907067,
true,Bastelset aus Peddigrohr - Mini Korb,mini-korbchen-mit-griff-311,5.99,https://cdn.shopify.com/s/files/1/0422/5397/5709/files/bastelset-aus-peddigrohr-mini-korbchen-mit-griff-bastelschachtel-81216.png?v=1767907102,
true,Bastelset aus Peddigrohr - Runder Korb,runder-korb-315,9.54,https://cdn.shopify.com/s/files/1/0422/5397/5709/files/BastelsetausPeddigrohr-RunderKorb.png?v=1768228305,
true,Bastelset aus Peddigrohr - Taschentuchbehälter,taschentuchbehlter-320,7.65,https://cdn.shopify.com/s/files/1/0422/5397/5709/files/bastelset-aus-peddigrohr-taschentuchbehalter-bastelschachtel-44729.jpg?v=1767886350,
true,Bastelset aus Peddigrohr - Teefilterbehälter,teefilterbehlter-aus-papierschnur-321,6.96,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/bastelset-aus-peddigrohr-teefilterbehalter-mit-papierschnur-bastelschachtel-49796.jpg?v=1767886350,
true,Bastelset aus Peddigrohr - Tulpe,tulpe-322,5.99,https://cdn.shopify.com/s/files/1/0422/5397/5709/files/bastelset-aus-peddigrohr-tulpe-bastelschachtel-84693.png?v=1767907095,
true,Bastelset aus Peddigrohr - Untersetzer,unterlage-323,7.92,https://cdn.shopify.com/s/files/1/0422/5397/5709/files/bastelset-aus-peddigrohr-topfunterlagegewebtes-bild-bastelschachtel-44120.png?v=1767907094,
true,Bastelset aus Peddigrohr - Vogelkäfig Groß,vogelkfig-324,9.99,https://cdn.shopify.com/s/files/1/0422/5397/5709/files/bastelset-aus-peddigrohr-vogelkafig-bastelschachtel-30731.png?v=1767907092,
true,"Korbboden rund, Ø 5cm für Peddigrohr 2mm",korbboden-rund-5cm-356,1.14,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-rund-o-5cm-fur-peddigrohr-2mm-bastelschachtel-42392.jpg?v=1767886393,
true,"Korbboden rund, Ø 7cm für Peddigrohr 2mm",korbboden-rund-7cm-357,1.38,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-rund-o-7cm-fur-peddigrohr-2mm-bastelschachtel-77283.jpg?v=1767886395,
true,"Korbboden rund, Ø 9cm für Peddigrohr 2mm",korbboden-rund-9cm-358,1.56,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-rund-o-9cm-fur-peddigrohr-2mm-bastelschachtel-29490.jpg?v=1767886398,
true,"Korbboden rund, Ø 11cm für Peddigrohr 3mm",korbboden-rund-11cm-359,1.86,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-rund-o-11cm-fur-peddigrohr-3mm-bastelschachtel-22224.jpg?v=1767886400,
true,"Korbboden rund, Ø 13cm für Peddigrohr 2mm",korbboden-rund-13cm-360,2.34,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-rund-o-13cm-fur-peddigrohr-2mm-bastelschachtel-41823.jpg?v=1767886414,
true,"Korbboden rund, Ø 16cm für Peddigrohr 3mm",korbboden-rund-16cm-361,2.94,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-rund-o-16cm-fur-peddigrohr-3mm-bastelschachtel-80609.jpg?v=1767886416,
true,"Korbboden rund, Ø 21cm für Peddigrohr 2mm",korbboden-rund-21cm-362,4.44,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-rund-o-21cm-fur-peddigrohr-2mm-bastelschachtel-52025.jpg?v=1767886417,
true,"Korbboden eckig, 11x7cm für Peddigrohr 3mm",korbboden-eckig-11x7cm-363,1.74,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-eckig-11x7cm-fur-peddigrohr-3mm-bastelschachtel-17204.jpg?v=1767886419,
true,"Korbboden eckig, 17,5x7cm für Peddigrohr 3mm",korbboden-eckig-175x7cm-364,2.58,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-eckig-175x7cm-fur-peddigrohr-3mm-bastelschachtel-79231.jpg?v=1767886421,
true,"Korbboden eckig, 22x29cm für Peddigrohr 3mm",korbboden-eckig-22x29cm-365,6.6,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-eckig-22x29cm-fur-peddigrohr-3mm-bastelschachtel-14732.jpg?v=1767886422,
true,"Korbboden Quadrat, 9x9cm für Peddigrohr 3mm",korbboden-eckig-9x9cm-366,1.74,https://cdn.shopify.com/s/files/1/0422/5397/5709/products/korbboden-quadrat-9x9cm-fur-peddigrohr-3mm-bastelschachtel-60526.jpg?v=1767886424,
